id_cliente;id_contrato;data_entrada;saldo;dias_atraso;bloqueio
C0000000;CT000000;2026-07-22;922,59;99;
C0000000;CT000000B;2026-07-22;1953,23;126;
C0000001;CT000001;2026-07-23;1524,42;52;
C0000002;CT000002;2026-07-20;20792,68;119;
C0000003;CT000003;2026-07-25;4995,57;627;
C0000004;CT000004;2026-07-20;18761,94;10;
C0000005;CT000005;2026-07-21;106,16;96;
C0000006;CT000006;2026-07-18;16267,52;672;
C0000007;CT000007;2026-07-19;1930,38;709;
C0000008;CT000008;2026-07-21;1739,90;70;
C0000009;CT000009;2026-07-13;993,56;173;
C0000010;CT000010;2026-07-23;425,82;92;
C0000011;CT000011;2026-07-18;831,39;13;
C0000012;CT000012;2026-07-18;3389,67;288;
C0000013;CT000013;2026-07-23;799,28;80;
C0000014;CT000014;2026-07-20;3607,13;6;
C0000015;CT000015;2026-07-15;3810,11;29;
C0000016;CT000016;2026-07-23;28817,17;272;
C0000017;CT000017;2026-07-14;9753,72;28;
C0000018;CT000018;2026-07-17;3748,62;73;
C0000019;CT000019;2026-07-18;4977,47;36;
C0000020;CT000020;2026-07-21;20374,60;10;
C0000021;CT000021;2026-07-25;250,83;26;
C0000022;CT000022;2026-07-12;3086,42;8;
C0000023;CT000023;2026-07-24;4851,79;58;
C0000024;CT000024;2026-07-20;4042,66;73;
C0000025;CT000025;2026-07-21;23534,04;83;
C0000026;CT000026;2026-07-13;21354,29;69;
C0000027;CT000027;2026-07-19;741,84;166;
C0000028;CT000028;2026-07-12;4770,69;623;
C0000029;CT000029;2026-07-14;921,50;60;
C0000030;CT000030;2026-07-16;250,23;393;
C0000031;CT000031;2026-07-18;13775,77;30;
C0000032;CT000032;2026-07-17;964,22;14;
C0000033;CT000033;2026-07-22;824,16;53;
C0000034;CT000034;2026-07-13;248,54;112;
C0000035;CT000035;2026-07-22;4129,62;91;
C0000036;CT000036;2026-07-22;4539,76;39;
C0000037;CT000037;2026-07-18;4554,11;49;
C0000038;CT000038;2026-07-24;1704,42;20;
C0000039;CT000039;2026-07-23;2493,08;144;
C0000040;CT000040;2026-07-25;394,80;70;
C0000041;CT000041;2026-07-20;11357,25;611;
C0000042;CT000042;2026-07-16;22914,39;62;
C0000043;CT000043;2026-07-17;779,75;20;
C0000044;CT000044;2026-07-19;756,29;126;
C0000045;CT000045;2026-07-17;2698,50;30;
C0000046;CT000046;2026-07-24;4087,35;123;
C0000047;CT000047;2026-07-23;3030,03;136;
C0000048;CT000048;2026-07-12;2492,09;22;
C0000049;CT000049;2026-07-20;2793,33;112;
C0000050;CT000050;2026-07-16;3001,07;97;
C0000050;CT000050B;2026-07-16;1987,09;135;
C0000051;CT000051;2026-07-19;721,21;77;
C0000052;CT000052;2026-07-13;819,99;130;
C0000053;CT000053;2026-07-25;693,90;12;
C0000054;CT000054;2026-07-13;428,80;43;
C0000055;CT000055;2026-07-25;677,23;59;
C0000056;CT000056;2026-07-17;4444,56;227;
C0000057;CT000057;2026-07-14;15742,80;121;
C0000058;CT000058;2026-07-12;499,50;79;
C0000059;CT000059;2026-07-20;3231,40;110;
C0000060;CT000060;2026-07-17;187,17;1;
C0000061;CT000061;2026-07-16;482,40;126;
C0000062;CT000062;2026-07-22;3329,19;124;
C0000063;CT000063;2026-07-24;1012,67;567;
C0000064;CT000064;2026-07-13;14391,98;23;
C0000065;CT000065;2026-07-13;7287,00;55;
C0000066;CT000066;2026-07-22;27600,65;28;
C0000067;CT000067;2026-07-25;848,21;34;
C0000068;CT000068;2026-07-18;1041,27;45;
C0000069;CT000069;2026-07-14;2716,37;48;
C0000070;CT000070;2026-07-22;4689,86;542;
C0000071;CT000071;2026-07-25;10687,47;130;
C0000072;CT000072;2026-07-17;2670,99;62;
C0000073;CT000073;2026-07-13;659,04;50;
C0000074;CT000074;2026-07-12;1246,93;546;
C0000075;CT000075;2026-07-22;4217,16;662;
C0000076;CT000076;2026-07-16;1123,12;55;
C0000077;CT000077;2026-07-15;2061,01;124;
C0000078;CT000078;2026-07-20;27515,10;138;
C0000079;CT000079;2026-07-17;4556,28;30;
C0000080;CT000080;2026-07-21;4112,07;104;
C0000081;CT000081;2026-07-23;885,17;73;
C0000082;CT000082;2026-07-22;3669,34;5;
C0000083;CT000083;2026-07-13;564,81;111;
C0000084;CT000084;2026-07-13;12284,06;20;
C0000085;CT000085;2026-07-22;4431,38;117;
C0000086;CT000086;2026-07-18;1146,36;77;
C0000087;CT000087;2026-07-22;1300,25;28;
C0000088;CT000088;2026-07-14;2072,91;53;
C0000089;CT000089;2026-07-22;1653,48;266;
C0000090;CT000090;2026-07-23;1358,47;21;
C0000091;CT000091;2026-07-25;862,02;29;
C0000092;CT000092;2026-07-18;578,37;27;
C0000093;CT000093;2026-07-23;14188,14;195;
C0000094;CT000094;2026-07-22;4854,90;68;
C0000095;CT000095;2026-07-21;3261,62;89;
C0000096;CT000096;2026-07-24;3601,10;712;
C0000097;CT000097;2026-07-17;23381,14;15;
C0000098;CT000098;2026-07-13;545,96;71;
C0000099;CT000099;2026-07-18;25393,68;152;
C0000100;CT000100;2026-07-12;3104,49;69;
C0000100;CT000100B;2026-07-12;2218,27;86;
C0000101;CT000101;2026-07-15;8879,73;25;
C0000102;CT000102;2026-07-21;148,27;97;
C0000103;CT000103;2026-07-14;23007,83;118;
C0000104;CT000104;2026-07-21;4764,51;9;
C0000105;CT000105;2026-07-12;29970,10;200;
C0000106;CT000106;2026-07-20;799,02;86;
C0000107;CT000107;2026-07-16;3926,93;97;
C0000108;CT000108;2026-07-15;15258,29;88;
