safra,cluster,clientes,pct_base_qualificada,localizados,pct_localizados,pct_loc_WA,pct_loc_RC,pct_loc_AV,pct_loc_DC,pct_loc_SM,pct_loc_EM,custo_localizacao,custo_por_cpc_descoberto,ncp_para_cpa,cpb_recuperados,tentativas_ate_contato,acordos,pct_acordo_sobre_cpc_voz,pct_acordo_sobre_retorno_digital,custo_total,custo_por_acordo,pct_parcelas_em_dia,pct_acordos_quitados,quebras,pct_regularizacao_ate_d5,pct_retorna_estoque
2026-08,A1,46,0.9783,29,0.6304,0.1522,0.1304,0.1522,0.087,0.0435,0.0652,125.13,4.31,20,9,7.0,13,0.375,0.3182,171.58,13.2,1.0,1.0,0,,
2026-08,A2,24,1.0,12,0.5,0.125,0.2083,0.0833,0.0,0.0,0.0833,63.25,5.27,9,3,7.8,8,0.4,0.6,80.89,10.11,0.75,1.0,1,,0.0
2026-08,A3,23,1.0,11,0.4783,0.1304,0.1304,0.1304,0.0435,0.0435,0.0,70.92,6.45,8,6,6.6,5,0.375,0.2222,85.01,17.0,1.0,1.0,0,,
2026-08,B1,67,0.9701,36,0.5373,0.1493,0.1194,0.0896,0.1194,0.0448,0.0149,190.91,5.3,22,15,7.9,20,0.2778,0.4545,241.76,12.09,0.9091,1.0,1,0.0,1.0
2026-08,B2,29,1.0,18,0.6207,0.1379,0.1379,0.1034,0.1034,0.1034,0.0345,80.26,4.46,10,10,5.9,8,0.125,0.35,119.23,14.9,1.0,1.0,0,,
2026-08,B3,35,1.0,16,0.4571,0.1714,0.1714,0.0,0.0,0.0857,0.0286,37.8,2.36,13,3,5.0,9,,0.4737,47.88,5.32,1.0,,0,,
2026-08,M1,69,0.9565,40,0.5797,0.1739,0.1449,0.1594,0.087,0.0145,0.0,189.5,4.74,22,29,6.2,19,0.3077,0.2558,271.51,14.29,1.0,1.0,0,,
2026-08,M2,51,0.9608,27,0.5294,0.0588,0.1373,0.1176,0.1961,0.0196,0.0,127.32,4.72,15,17,6.6,13,0.2174,0.381,178.16,13.7,1.0,1.0,0,,
2026-08,M3,42,1.0,24,0.5714,0.0476,0.1905,0.2381,0.0952,0.0,0.0,102.21,4.26,11,14,5.3,9,0.2609,0.2,163.36,18.15,1.0,1.0,0,,
2026-09,A1,3,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,,0,0,,0,,,7.9,,,,0,,
2026-09,B1,4,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.07,,0,0,,0,,,8.07,,,,0,,
2026-09,B2,1,1.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12,0.12,0,0,1.0,1,,1.0,0.36,0.36,,,0,,
2026-09,B3,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,,0,0,,0,,,1.06,,,,0,,
2026-09,M1,2,1.0,1,0.5,0.0,0.0,0.0,0.0,0.5,0.0,4.13,4.13,1,0,9.0,0,,0.0,4.13,,,,0,,
2026-09,M3,3,1.0,2,0.6667,0.0,0.6667,0.0,0.0,0.0,0.0,2.48,1.24,0,0,1.0,1,,0.5,5.14,5.14,1.0,1.0,0,,
TOTAL,,400,0.98,217,0.5425,0.125,0.15,0.12,0.09,0.0375,0.02,1011.06,4.66,131,106,6.5,106,0.2835,0.3571,1386.04,13.08,0.9714,1.0,2,0.0,0.5
