regua,canal,vertical,fornecedor,volume,custo,contatos,acordos,valor_acordado,recebido
localizacao,whatsapp,Digital,sim,154,46.2,18,2,3381.74,535.03
localizacao,rcs,Digital,sim,547,65.64,23,10,31427.37,25294.47
localizacao,agente_voz,Voz,sim,671,80.52,18,1,2302.1,230.21
localizacao,discador,Voz,sim,618,216.3,18,4,12591.69,8368.85
localizacao,sms,Digital,sim,441,30.87,5,2,604.23,22.16
localizacao,email,Digital,sim,256,2.56,4,0,0.0,0.0
giro,whatsapp,Digital,sim,227,68.1,32,6,26468.63,14788.95
giro,rcs,Digital,sim,814,97.68,37,6,13354.04,503.58
giro,agente_voz,Voz,sim,815,97.8,30,10,45869.05,5720.86
giro,discador,Voz,sim,745,260.75,18,7,25030.45,20510.97
giro,sms,Digital,sim,604,42.28,10,5,12784.58,4022.43
giro,email,Digital,sim,236,2.36,5,1,522.81,174.27
cpc,whatsapp,Digital,sim,205,61.5,61,22,67352.98,23381.39
cpc,rcs,Digital,sim,205,24.6,36,15,16154.27,4925.57
cpc,agente_voz,Voz,sim,365,43.8,26,7,34355.78,6100.92
cpc,discador,Voz,sim,623,218.05,26,7,18003.99,3624.74
cpc,sms,Digital,sim,172,12.04,5,1,11606.94,3868.98
cpc,email,Digital,sim,117,1.17,2,0,0.0,0.0
preventivo,whatsapp,Digital,sim,21,6.3,4,0,0.0,0.0
preventivo,rcs,Digital,sim,51,6.12,9,0,0.0,0.0
preventivo,discador,Voz,sim,2,0.7,0,0,0.0,0.0
quebra,discador,Voz,sim,2,0.7,0,0,0.0,0.0
