data,id_cliente,tag,cluster,pacote,motivo
2026-09-16,C0000013,S260803-M2-NCP-ND-RE,M2,básico + WhatsApp válido,3 ciclos de giro sem contato
2026-09-16,C0000072,S260803-A2-NCP-ND-RE,A2,completo + novos telefones,3 ciclos de giro sem contato
2026-09-16,C0000136,S260803-B2-NCP-ND-RE,B2,básico,3 ciclos de giro sem contato
2026-09-16,C0000208,S260803-A3-NCP-ND-RE,A3,completo + localizador,3 ciclos de giro sem contato
2026-09-16,C0000343,S260803-M2-NCP-ND-RE,M2,básico + WhatsApp válido,3 ciclos de giro sem contato
2026-09-16,C0000020,S260804-B3-NCP-ND-RE,B3,só digital,3 ciclos de giro sem contato
2026-09-16,C0000038,S260804-A1-NCP-ND-RE,A1,completo,3 ciclos de giro sem contato
2026-09-16,C0000139,S260804-M2-NCP-ND-RE,M2,básico + WhatsApp válido,3 ciclos de giro sem contato
2026-09-16,C0000182,S260804-B3-NCP-ND-RE,B3,só digital,3 ciclos de giro sem contato
2026-09-16,C0000201,S260804-M3-NCP-ND-G1,M3,básico,esgotou os canais
2026-09-16,C0000348,S260804-A2-COL-AV,A2,completo + novos telefones,revalidação (30 dias)
2026-09-16,C0000390,S260804-A2-NCP-ND-RE,A2,completo + novos telefones,3 ciclos de giro sem contato
2026-09-16,C0000009,S260805-M1-NCP-ND-RE,M1,completo,3 ciclos de giro sem contato
2026-09-16,C0000084,S260805-M3-NCP-ND-RE,M3,básico,3 ciclos de giro sem contato
2026-09-16,C0000194,S260805-A2-NCP-ND-RE,A2,completo + novos telefones,3 ciclos de giro sem contato
2026-09-16,C0000244,S260805-B3-NCP-ND-RE,B3,só digital,3 ciclos de giro sem contato
2026-09-16,C0000285,S260805-B1-NCP-ND-RE,B1,básico,3 ciclos de giro sem contato
2026-09-16,C0000103,S260806-A2-CPB-RC-T2,A2,completo + novos telefones,revalidação (30 dias)
2026-09-16,C0000119,S260806-M2-NCP-ND-RE,M2,básico + WhatsApp válido,3 ciclos de giro sem contato
2026-09-16,C0000137,S260806-A1-COL-WA,A1,completo,revalidação (30 dias)
2026-09-16,C0000200,S260806-M1-NCP-ND-RE,M1,completo,3 ciclos de giro sem contato
2026-09-16,C0000216,S260806-A2-CPB-SM-T3,A2,completo + novos telefones,revalidação (30 dias)
2026-09-16,C0000227,S260806-B3-NCP-ND-RE,B3,só digital,3 ciclos de giro sem contato
2026-09-16,C0000234,S260806-A2-CPB-WA-T1,A2,completo + novos telefones,revalidação (30 dias)
2026-09-16,C0000287,S260806-B2-NCP-ND-RE,B2,básico,3 ciclos de giro sem contato
2026-09-16,C0000288,S260806-M2-NCP-ND-RE,M2,básico + WhatsApp válido,3 ciclos de giro sem contato
2026-09-16,C0000331,S260806-B2-NCP-ND-RE,B2,básico,3 ciclos de giro sem contato
2026-09-16,C0000333,S260806-A2-CPB-SM-T1,A2,completo + novos telefones,revalidação (30 dias)
2026-09-16,C0000350,S260806-B3-NCP-ND-G1,B3,só digital,esgotou os canais
2026-09-16,C0000092,S260807-A1-NCP-ND-RE,A1,completo,3 ciclos de giro sem contato
2026-09-16,C0000113,S260807-M2-NCP-ND-RE,M2,básico + WhatsApp válido,3 ciclos de giro sem contato
2026-09-16,C0000225,S260807-A1-NCP-ND-RE,A1,completo,3 ciclos de giro sem contato
2026-09-16,C0000239,S260807-B3-NCP-ND-RE,B3,só digital,3 ciclos de giro sem contato
2026-09-16,C0000241,S260807-M3-NCP-ND-RE,M3,básico,3 ciclos de giro sem contato
2026-09-16,C0000266,S260807-A1-NCP-ND-RE,A1,completo,3 ciclos de giro sem contato
2026-09-16,C0000357,S260807-M1-NCP-ND-RE,M1,completo,3 ciclos de giro sem contato
2026-09-16,C0000364,S260807-A1-NCP-ND-RE,A1,completo,3 ciclos de giro sem contato
2026-09-16,C0000097,S260808-B3-NCP-ND-RE,B3,só digital,3 ciclos de giro sem contato
2026-09-16,C0000101,S260808-B2-NCP-ND-RE,B2,básico,3 ciclos de giro sem contato
2026-09-16,C0000198,S260808-B3-NCP-ND-RE,B3,só digital,3 ciclos de giro sem contato
