id_cliente,tag,cluster_origem,cluster_atual,estado,reenriquecer
C0000013,S260803-M2-NCP-ND-RE,M2,M2,NCP,3 ciclos de giro sem contato
C0000072,S260803-A2-NCP-ND-RE,A2,A2,NCP,3 ciclos de giro sem contato
C0000082,S260803-B3-NCP-ND-G1,B2,B3,NCP,esgotou os canais
C0000096,S260803-M3-CPB-WA-T3,M2,M3,CPB,
C0000136,S260803-B2-COL-WA,B1,B2,COL,
C0000156,S260803-M3-CPB-WA-T1,M3,M3,CPB,
C0000197,S260803-M2-CPB-SM-T2,M2,M2,CPB,
C0000208,S260803-A3-NCP-ND-RE,A3,A3,NCP,3 ciclos de giro sem contato
C0000300,S260803-M1-NCP-ND-RE,M1,M1,NCP,3 ciclos de giro sem contato
C0000312,S260803-A1-COL-WA,A1,A1,COL,
C0000343,S260803-M2-NCP-ND-RE,M2,M2,NCP,3 ciclos de giro sem contato
C0000347,S260803-M1-PRE-WA-D-3,M1,M1,PRE,
C0000355,S260803-B2-COL-WA,B2,B2,COL,
C0000020,S260804-B3-COL-SM,B3,B3,COL,
C0000038,S260804-A1-COL-AV,A1,A1,COL,
C0000054,S260804-B2-LIQ-RC,B2,B2,LIQ,
C0000139,S260804-M2-NCP-ND-RE,M1,M2,NCP,3 ciclos de giro sem contato
C0000150,S260804-B2-NCP-ND-RE,B2,B2,NCP,3 ciclos de giro sem contato
C0000182,S260804-B3-COL-RC,B3,B3,COL,
C0000201,S260804-M3-CPB-WA-T3,M3,M3,CPB,
C0000250,S260804-M1-CPB-SM-T3,M1,M1,CPB,
C0000293,S260804-B3-CPB-WA-T1,B2,B3,CPB,
C0000348,S260804-A2-CPB-RC-T1,A1,A2,CPB,
C0000351,S260804-M3-LIQ-RC,M3,M3,LIQ,
C0000390,S260804-A2-NCP-ND-RE,A2,A2,NCP,3 ciclos de giro sem contato
C0000002,S260805-B1-CPB-WA-T1,B1,B1,CPB,
C0000009,S260805-M1-NCP-ND-RE,M1,M1,NCP,3 ciclos de giro sem contato
C0000080,S260805-M3-NCP-ND-G1,M3,M3,NCP,esgotou os canais
C0000084,S260805-M3-NCP-ND-RE,M3,M3,NCP,3 ciclos de giro sem contato
C0000151,S260805-M1-COL-RC,M1,M1,COL,
C0000177,S260805-B3-NCP-ND-RE,B2,B3,NCP,3 ciclos de giro sem contato
C0000181,S260805-B2-CPB-SM-T1,B2,B2,CPB,
C0000194,S260805-A2-NCP-ND-RE,A2,A2,NCP,3 ciclos de giro sem contato
C0000244,S260805-B3-NCP-ND-RE,B3,B3,NCP,3 ciclos de giro sem contato
C0000283,S260805-B2-COL-RC,B2,B2,COL,
C0000285,S260805-B1-NCP-ND-RE,B1,B1,NCP,3 ciclos de giro sem contato
C0000019,S260806-B2-NCP-ND-RE,B1,B2,NCP,3 ciclos de giro sem contato
C0000022,S260806-B2-COL-RC,B1,B2,COL,
C0000026,S260806-B1-COL-WA,B1,B1,COL,
C0000061,S260806-B2-PRE-WA-D-2,B1,B2,PRE,
C0000067,S260806-M1-CPB-AV-T2,M1,M1,CPB,
C0000103,S260806-A2-CPB-RC-T3,A1,A2,CPB,
C0000119,S260806-M2-NCP-ND-RE,M2,M2,NCP,3 ciclos de giro sem contato
C0000137,S260806-A1-COL-WA,A1,A1,COL,
C0000163,S260806-M1-COL-RC,M1,M1,COL,
C0000200,S260806-M1-NCP-ND-RE,M1,M1,NCP,3 ciclos de giro sem contato
C0000216,S260806-A2-CPB-DC-T2,A1,A2,CPB,
C0000218,S260806-B2-CPB-WA-T1,B1,B2,CPB,
C0000227,S260806-B3-NCP-ND-RE,B3,B3,NCP,3 ciclos de giro sem contato
C0000234,S260806-A2-CPB-DC-T2,A1,A2,CPB,
C0000261,S260806-M1-CPB-SM-T3,M1,M1,CPB,
C0000287,S260806-B2-NCP-ND-RE,B2,B2,NCP,3 ciclos de giro sem contato
C0000288,S260806-M2-NCP-ND-RE,M2,M2,NCP,3 ciclos de giro sem contato
C0000331,S260806-B2-NCP-ND-RE,B2,B2,NCP,3 ciclos de giro sem contato
C0000333,S260806-A2-NCP-ND-RE,A2,A2,NCP,3 ciclos de giro sem contato
C0000350,S260806-B3-NCP-ND-RE,B3,B3,NCP,3 ciclos de giro sem contato
C0000063,S260807-B2-CPB-WA-T3,B1,B2,CPB,
C0000069,S260807-M3-COL-RC,M2,M3,COL,
C0000092,S260807-A1-NCP-ND-RE,A1,A1,NCP,3 ciclos de giro sem contato
C0000113,S260807-M2-CPB-SM-T2,M2,M2,CPB,
C0000144,S260807-M1-CPB-DC-T2,M1,M1,CPB,
C0000166,S260807-M2-COL-AV,M2,M2,COL,
C0000202,S260807-M1-CPB-SM-T2,M1,M1,CPB,
C0000225,S260807-A1-CPB-WA-T1,A1,A1,CPB,
C0000239,S260807-B3-CPB-WA-T1,B3,B3,CPB,
C0000241,S260807-M3-CPB-WA-T1,M3,M3,CPB,
C0000266,S260807-A1-NCP-ND-RE,A1,A1,NCP,3 ciclos de giro sem contato
C0000314,S260807-A2-BLQ-ND,A2,A2,BLQ,
C0000357,S260807-M1-NCP-ND-RE,M1,M1,NCP,3 ciclos de giro sem contato
C0000364,S260807-A1-NCP-ND-RE,A1,A1,NCP,3 ciclos de giro sem contato
C0000015,S260808-M2-NCP-ND-RE,M2,M2,NCP,3 ciclos de giro sem contato
C0000097,S260808-B3-NCP-ND-RE,B3,B3,NCP,3 ciclos de giro sem contato
C0000101,S260808-B2-NCP-ND-RE,B1,B2,NCP,3 ciclos de giro sem contato
C0000189,S260808-B2-NCP-ND-RE,B2,B2,NCP,3 ciclos de giro sem contato
C0000198,S260808-B3-NCP-ND-RE,B3,B3,NCP,3 ciclos de giro sem contato
C0000226,S260808-A3-NCP-ND-RE,A3,A3,NCP,3 ciclos de giro sem contato
C0000249,S260808-B3-NCP-ND-G1,B2,B3,NCP,esgotou os canais
C0000279,S260808-B3-CPB-WA-T1,B3,B3,CPB,
C0000353,S260808-M3-CPB-RC-T2,M3,M3,CPB,
C0000372,S260808-A2-BLQ-ND,A2,A2,BLQ,
C0000375,S260808-B2-NCP-ND-RE,B1,B2,NCP,3 ciclos de giro sem contato
C0000070,S260809-M2-COL-DC,M1,M2,COL,
C0000138,S260809-M2-COL-RC,M1,M2,COL,
C0000178,S260809-B3-COL-SM,B3,B3,COL,
C0000203,S260809-B1-NCP-ND-RE,B1,B1,NCP,3 ciclos de giro sem contato
C0000210,S260809-M3-COL-DC,M3,M3,COL,
C0000233,S260809-M2-COL-DC,M2,M2,COL,
C0000273,S260809-M2-NCP-ND-RE,M2,M2,NCP,3 ciclos de giro sem contato
C0000289,S260809-B2-NCP-ND-RE,B1,B2,NCP,3 ciclos de giro sem contato
C0000295,S260809-M1-NCP-ND-RE,M1,M1,NCP,3 ciclos de giro sem contato
C0000337,S260809-B3-COL-WA,B3,B3,COL,
C0000107,S260810-M1-CPB-WA-T3,M1,M1,CPB,
