data,id_cliente,tag_anterior,tag,motivo,quem_marcou
2026-08-03,C0000013,,S260803-M2-LOC-ND-L0,entrada na esteira; enriquecimento básico + WhatsApp válido,Planejamento
2026-08-03,C0000072,,S260803-A2-LOC-ND-L0,entrada na esteira; enriquecimento completo + novos telefones,Planejamento
2026-08-03,C0000082,,S260803-B2-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-03,C0000096,,S260803-M2-LOC-ND-L0,entrada na esteira; enriquecimento básico + WhatsApp válido,Planejamento
2026-08-03,C0000136,,S260803-B1-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-03,C0000156,,S260803-M3-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-03,C0000197,,S260803-M2-LOC-ND-L0,entrada na esteira; enriquecimento básico + WhatsApp válido,Planejamento
2026-08-03,C0000208,,S260803-A3-LOC-ND-L0,entrada na esteira; enriquecimento completo + localizador,Planejamento
2026-08-03,C0000300,,S260803-M1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-03,C0000312,,S260803-A1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-03,C0000343,,S260803-M2-LOC-ND-L0,entrada na esteira; enriquecimento básico + WhatsApp válido,Planejamento
2026-08-03,C0000347,,S260803-M1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-03,C0000355,,S260803-B2-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-04,C0000020,,S260804-B3-LOC-ND-L0,entrada na esteira; enriquecimento só digital,Planejamento
2026-08-04,C0000038,,S260804-A1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-04,C0000054,,S260804-B2-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-04,C0000139,,S260804-M1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-04,C0000150,,S260804-B2-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-04,C0000182,,S260804-B3-LOC-ND-L0,entrada na esteira; enriquecimento só digital,Planejamento
2026-08-04,C0000201,,S260804-M3-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-04,C0000250,,S260804-M1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-04,C0000293,,S260804-B2-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-04,C0000348,,S260804-A1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-04,C0000351,,S260804-M3-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-04,C0000390,,S260804-A2-LOC-ND-L0,entrada na esteira; enriquecimento completo + novos telefones,Planejamento
2026-08-04,C0000013,S260803-M2-LOC-ND-L0,S260803-M2-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-04,C0000082,S260803-B2-LOC-ND-L0,S260803-B2-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-04,C0000096,S260803-M2-LOC-ND-L0,S260803-M2-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-04,C0000136,S260803-B1-LOC-ND-L0,S260803-B1-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-04,C0000197,S260803-M2-LOC-ND-L0,S260803-M2-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-04,C0000208,S260803-A3-LOC-ND-L0,S260803-A3-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-04,C0000300,S260803-M1-LOC-ND-L0,S260803-M1-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-04,C0000312,S260803-A1-LOC-ND-L0,S260803-A1-CPA-WA-T1,contato no WhatsApp → CPC A,WhatsApp
2026-08-04,C0000343,S260803-M2-LOC-ND-L0,S260803-M2-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-04,C0000347,S260803-M1-LOC-ND-L0,S260803-M1-CPA-WA-T1,contato no WhatsApp → CPC A,WhatsApp
