id_cliente;id_acordo;parcela;vencimento;valor;pago_em
C0000477;AC0000;1;2026-08-26;350,70;2026-08-26
C0000118;AC0001;1;2026-09-02;545,55;2026-09-01
C0000118;AC0001;2;2026-10-02;700,63;
C0000118;AC0001;3;2026-11-01;197,72;
C0000027;AC0002;1;2026-09-13;552,84;
C0000459;AC0003;1;2026-09-04;607,73;2026-09-03
C0000459;AC0003;2;2026-10-04;602,90;
C0000459;AC0003;3;2026-11-03;352,09;
C0000310;AC0004;1;2026-09-26;208,05;
C0000310;AC0004;2;2026-10-26;222,53;
C0000310;AC0004;3;2026-11-25;516,16;
C0000310;AC0004;4;2026-12-25;869,31;
C0000310;AC0004;5;2027-01-24;474,86;
C0000310;AC0004;6;2027-02-23;868,89;
C0000356;AC0005;1;2026-09-22;290,35;2026-09-21
C0000264;AC0006;1;2026-09-17;538,47;2026-09-17
C0000264;AC0006;2;2026-10-17;669,82;
C0000264;AC0006;3;2026-11-16;597,25;
C0000393;AC0007;1;2026-09-07;812,27;2026-09-06
C0000011;AC0008;1;2026-08-25;419,06;
C0000439;AC0009;1;2026-09-01;426,37;2026-08-30
C0000151;AC0010;1;2026-09-26;688,00;
C0000151;AC0010;2;2026-10-26;156,20;
C0000151;AC0010;3;2026-11-25;380,91;
C0000151;AC0010;4;2026-12-25;163,29;
C0000151;AC0010;5;2027-01-24;373,64;
C0000151;AC0010;6;2027-02-23;577,60;
C0000244;AC0011;1;2026-08-23;307,46;2026-08-21
C0000244;AC0011;2;2026-09-22;391,36;2026-09-20
C0000244;AC0011;3;2026-10-22;655,40;
C0000244;AC0011;4;2026-11-21;354,75;
C0000244;AC0011;5;2026-12-21;133,17;
C0000244;AC0011;6;2027-01-20;751,94;
C0000102;AC0012;1;2026-09-19;759,10;
C0000309;AC0013;1;2026-08-28;241,51;2026-08-26
C0000309;AC0013;2;2026-09-27;199,03;
C0000309;AC0013;3;2026-10-27;292,43;
C0000309;AC0013;4;2026-11-26;848,45;
C0000309;AC0013;5;2026-12-26;608,71;
C0000309;AC0013;6;2027-01-25;291,72;
C0000137;AC0014;1;2026-09-05;463,91;2026-09-05
C0000435;AC0015;1;2026-08-29;186,15;2026-08-28
C0000435;AC0015;2;2026-09-28;395,37;
C0000435;AC0015;3;2026-10-28;498,15;
C0000435;AC0015;4;2026-11-27;693,56;
C0000435;AC0015;5;2026-12-27;290,30;
C0000435;AC0015;6;2027-01-26;535,17;
C0000101;AC0016;1;2026-09-22;372,18;2026-09-22
C0000186;AC0017;1;2026-09-01;608,98;2026-09-01
C0000129;AC0018;1;2026-08-29;616,48;2026-08-29
C0000228;AC0019;1;2026-08-26;547,68;2026-08-25
C0000216;AC0020;1;2026-09-22;629,98;2026-09-21
C0000216;AC0020;2;2026-10-22;159,17;
C0000216;AC0020;3;2026-11-21;198,52;
C0000339;AC0021;1;2026-09-04;109,57;2026-09-02
C0000339;AC0021;2;2026-10-04;874,37;
C0000339;AC0021;3;2026-11-03;541,21;
C0000274;AC0022;1;2026-09-22;778,30;2026-09-22
C0000274;AC0022;2;2026-10-22;406,32;
C0000274;AC0022;3;2026-11-21;183,13;
C0000274;AC0022;4;2026-12-21;893,10;
C0000274;AC0022;5;2027-01-20;799,87;
C0000274;AC0022;6;2027-02-19;742,94;
C0000219;AC0023;1;2026-09-14;555,44;2026-09-12
C0000353;AC0024;1;2026-09-27;370,77;
C0000484;AC0025;1;2026-08-29;445,95;2026-08-27
C0000484;AC0025;2;2026-09-28;849,96;
C0000484;AC0025;3;2026-10-28;340,88;
C0000484;AC0025;4;2026-11-27;569,96;
C0000484;AC0025;5;2026-12-27;449,94;
C0000484;AC0025;6;2027-01-26;110,72;
C0000316;AC0026;1;2026-09-11;691,44;2026-09-11
C0000316;AC0026;2;2026-10-11;370,97;
C0000316;AC0026;3;2026-11-10;572,65;
C0000359;AC0027;1;2026-09-09;343,89;2026-09-07
C0000287;AC0028;1;2026-09-12;546,56;2026-09-11
C0000287;AC0028;2;2026-10-12;373,28;
C0000287;AC0028;3;2026-11-11;126,55;
C0000287;AC0028;4;2026-12-11;116,26;
C0000287;AC0028;5;2027-01-10;541,70;
C0000287;AC0028;6;2027-02-09;154,62;
C0000478;AC0029;1;2026-08-29;743,09;2026-08-28
C0000478;AC0029;2;2026-09-28;173,43;
C0000478;AC0029;3;2026-10-28;823,42;
C0000478;AC0029;4;2026-11-27;818,55;
C0000478;AC0029;5;2026-12-27;372,83;
C0000478;AC0029;6;2027-01-26;442,80;
C0000194;AC0030;1;2026-09-16;893,70;2026-09-14
C0000194;AC0030;2;2026-10-16;784,19;
C0000194;AC0030;3;2026-11-15;703,85;
C0000194;AC0030;4;2026-12-15;170,08;
C0000194;AC0030;5;2027-01-14;462,77;
C0000194;AC0030;6;2027-02-13;399,17;
