token;evento;ocorrido_em;valor_acordo
hjhv4gjzfb37bjj6;clique;2026-09-18T11:13:00;
hjhv4gjzfb37bjj6;login;2026-09-18T11:22:00;
hjhv4gjzfb37bjj6;acordo;2026-09-18T11:33:00;869.63
ns4ayvdb4yefdr46;clique;2026-09-18T13:55:00;
s6brdnelbt4peb2e;clique;2026-09-18T16:23:00;
s6brdnelbt4peb2e;login;2026-09-18T16:33:00;
r5fmmcteydpvsj5l;clique;2026-09-18T16:57:00;
egssxrpagc7buv7s;clique;2026-09-18T18:34:00;
egssxrpagc7buv7s;login;2026-09-18T18:43:00;
g66bhkows7r3jn73;clique;2026-09-18T19:58:00;
g66bhkows7r3jn73;login;2026-09-18T20:03:00;
wxr3ztxo7tlwgcou;clique;2026-09-18T21:54:00;
wxr3ztxo7tlwgcou;login;2026-09-18T22:00:00;
54xlhwo4m6gebdvd;clique;2026-09-18T22:40:00;
54xlhwo4m6gebdvd;login;2026-09-18T22:42:00;
sstqfxnkhab2pm43;clique;2026-09-18T23:12:00;
umn4eldbs3ynil5w;clique;2026-09-19T00:01:00;
umn4eldbs3ynil5w;login;2026-09-19T00:11:00;
u53qzg46exw3lnjl;clique;2026-09-19T00:57:00;
3mdlb577jnfohwxb;clique;2026-09-19T01:10:00;
qqpng3oh2tsebuat;clique;2026-09-19T02:16:00;
qqpng3oh2tsebuat;login;2026-09-19T02:19:00;
qqpng3oh2tsebuat;acordo;2026-09-19T02:35:00;2993.54
c2ziwpkdadcebeji;clique;2026-09-19T03:01:00;
g6oskp3rm7axjrgq;clique;2026-09-19T03:15:00;
mv5s2qwcsclelnjb;clique;2026-09-19T03:23:00;
mv5s2qwcsclelnjb;login;2026-09-19T03:24:00;
g6oskp3rm7axjrgq;login;2026-09-19T03:25:00;
invr6dgl3glhhz3o;clique;2026-09-19T04:19:00;
pceruvkulvsy6dq5;clique;2026-09-19T04:42:00;
gtzx6eovcvsdfhu5;clique;2026-09-19T05:45:00;
rdtshggzw2663iyk;clique;2026-09-19T05:54:00;
rdtshggzw2663iyk;login;2026-09-19T06:02:00;
gspflim6kx2j7b4f;clique;2026-09-19T08:16:00;
y7o5ztpf4wzepxwl;clique;2026-09-19T09:09:00;
abknrfnyqlbpg5ag;clique;2026-09-19T09:57:00;
xc5q6foe7t3qkioi;clique;2026-09-19T11:30:00;
osuuf2ac7nlcupl3;clique;2026-09-19T14:13:00;
osuuf2ac7nlcupl3;login;2026-09-19T14:21:00;
gmudlcf46qhdpsor;clique;2026-09-19T14:28:00;
